image_path,calories,protein,carbs,fat
../food-101/train\bruschetta\1104680.jpg,158.51,3.76,21.67,7.23
../food-101/train\bruschetta\1105168.jpg,162.06,3.77,23.94,7.89
../food-101/train\bruschetta\1111775.jpg,191.12,3.55,27.64,7.76
../food-101/train\bruschetta\1115890.jpg,184.87,4.18,28.22,6.41
../food-101/train\bruschetta\1119741.jpg,177.77,4.09,23.67,7.29
../food-101/train\bruschetta\1134847.jpg,158.02,4.14,23.78,7.93
../food-101/train\bruschetta\1135281.jpg,165.45,4.03,26.32,6.69
../food-101/train\bruschetta\1136794.jpg,185.45,4.16,24.71,7.89
../food-101/train\bruschetta\1140422.jpg,185.37,4.38,24.23,6.17
../food-101/train\bruschetta\1147497.jpg,185.35,4.24,25.83,7.1
../food-101/train\bruschetta\1148516.jpg,177.91,3.76,24.74,6.99
../food-101/train\bruschetta\1149072.jpg,175.52,4.12,20.04,7.55
../food-101/train\bruschetta\1169212.jpg,189.87,4.24,27.13,7.74
../food-101/train\bruschetta\1171187.jpg,165.51,3.87,24.79,6.44
../food-101/train\bruschetta\1172580.jpg,182.03,3.64,25.77,6.77
../food-101/train\bruschetta\1175593.jpg,175.94,3.54,25.19,7.74
../food-101/train\bruschetta\117648.jpg,173.41,4.48,21.8,6.77
../food-101/train\bruschetta\1178901.jpg,162.25,3.46,27.73,6.53
../food-101/train\bruschetta\1183627.jpg,160.95,4.16,24.85,7.93
../food-101/train\bruschetta\118883.jpg,171.74,4.56,22.9,7.98
../food-101/train\bruschetta\1214697.jpg,189.44,4.29,26.71,7.31
../food-101/train\bruschetta\1219281.jpg,183.32,4.04,22.21,7.09
../food-101/train\bruschetta\1229891.jpg,188.18,4.56,27.33,6.93
../food-101/train\bruschetta\1231530.jpg,185.38,3.63,22.63,6.78
../food-101/train\bruschetta\1232934.jpg,184.76,3.67,20.15,7.43
../food-101/train\bruschetta\1233570.jpg,168.05,4.49,19.45,6.37
../food-101/train\bruschetta\1238147.jpg,182.87,4.33,21.1,6.55
../food-101/train\bruschetta\1255490.jpg,183.31,3.42,20.39,7.22
../food-101/train\bruschetta\1261207.jpg,173.56,3.65,27.45,6.31
../food-101/train\bruschetta\1270144.jpg,183.79,4.29,21.89,7.36
../food-101/train\bruschetta\1270421.jpg,167.25,3.49,24.63,6.27
../food-101/train\bruschetta\1270864.jpg,186.19,4.24,19.37,7.13
../food-101/train\bruschetta\127147.jpg,167.88,3.86,26.37,7.8
../food-101/train\bruschetta\1272345.jpg,177.64,4.49,28.76,6.92
../food-101/train\bruschetta\1287030.jpg,164.68,4.56,26.92,6.01
../food-101/train\bruschetta\1288625.jpg,159.38,4.17,28.74,7.47
../food-101/train\bruschetta\1300659.jpg,165.58,3.72,26.09,7.74
../food-101/train\bruschetta\1305405.jpg,160.64,4.24,21.5,6.92
../food-101/train\bruschetta\1314203.jpg,170.0,4.58,24.13,6.45
../food-101/train\bruschetta\1327027.jpg,173.3,4.13,23.91,7.67
../food-101/train\bruschetta\1333827.jpg,185.21,4.59,19.97,6.42
../food-101/train\bruschetta\1334978.jpg,167.9,3.94,28.64,6.06
../food-101/train\bruschetta\134026.jpg,183.12,4.55,23.15,6.66
../food-101/train\bruschetta\1344078.jpg,173.45,4.56,21.6,7.08
../food-101/train\bruschetta\1345668.jpg,190.84,3.73,28.45,7.54
../food-101/train\bruschetta\1346725.jpg,181.41,4.41,26.28,7.84
../food-101/train\bruschetta\1350421.jpg,173.21,4.38,22.09,7.54
../food-101/train\bruschetta\1351613.jpg,158.62,3.47,26.9,7.75
../food-101/train\bruschetta\1351925.jpg,187.64,3.42,28.47,6.67
../food-101/train\bruschetta\1359938.jpg,169.0,4.15,19.97,6.16
../food-101/train\bruschetta\1365611.jpg,181.88,4.18,25.25,6.05
../food-101/train\bruschetta\1366565.jpg,161.23,4.15,21.21,6.65
../food-101/train\bruschetta\1369156.jpg,184.44,3.55,23.0,7.84
../food-101/train\bruschetta\1376289.jpg,161.18,3.8,21.9,6.34
../food-101/train\bruschetta\1380332.jpg,170.14,4.54,21.57,6.54
../food-101/train\bruschetta\1389350.jpg,159.58,3.56,26.07,7.76
../food-101/train\bruschetta\1398416.jpg,169.62,3.42,19.98,7.69
../food-101/train\bruschetta\1409611.jpg,188.17,4.56,25.45,7.58
../food-101/train\bruschetta\1410763.jpg,174.03,4.26,19.64,7.88
../food-101/train\bruschetta\1412811.jpg,188.91,3.6,23.63,6.79
../food-101/train\bruschetta\1413085.jpg,171.68,3.52,25.37,6.67
../food-101/train\bruschetta\1414004.jpg,177.44,3.81,22.18,7.84
../food-101/train\bruschetta\141729.jpg,179.06,3.54,20.9,7.29
../food-101/train\bruschetta\1424437.jpg,192.18,3.91,26.89,7.06
../food-101/train\bruschetta\1425504.jpg,168.23,3.58,25.71,6.55
../food-101/train\bruschetta\142836.jpg,190.79,3.68,21.22,6.33
../food-101/train\bruschetta\1436597.jpg,182.28,4.5,28.79,7.91
../food-101/train\bruschetta\1443850.jpg,185.36,3.67,22.96,6.89
../food-101/train\bruschetta\1445523.jpg,178.07,4.58,19.41,7.3
../food-101/train\bruschetta\1449601.jpg,184.53,4.06,28.11,6.09
../food-101/train\bruschetta\1469711.jpg,171.83,3.52,23.05,6.72
../food-101/train\bruschetta\1469989.jpg,169.32,4.04,25.82,7.64
../food-101/train\bruschetta\1473738.jpg,165.18,3.8,20.67,6.27
../food-101/train\bruschetta\1481541.jpg,180.5,4.52,26.15,6.48
../food-101/train\bruschetta\1482438.jpg,174.45,3.6,25.38,6.97
../food-101/train\bruschetta\1484759.jpg,184.1,3.49,22.41,6.63
../food-101/train\bruschetta\1494906.jpg,187.0,3.97,23.27,7.17
../food-101/train\bruschetta\1510287.jpg,179.62,3.69,27.68,7.41
../food-101/train\bruschetta\1512666.jpg,159.88,4.33,19.22,6.24
../food-101/train\bruschetta\1514232.jpg,188.53,3.57,22.23,7.53
../food-101/train\bruschetta\1524442.jpg,174.88,4.36,26.53,7.75
../food-101/train\bruschetta\1531059.jpg,158.07,4.53,23.87,6.2
../food-101/train\bruschetta\1531086.jpg,187.6,4.15,24.85,7.37
../food-101/train\bruschetta\153898.jpg,158.68,4.42,20.03,7.45
../food-101/train\bruschetta\1545121.jpg,175.45,3.47,27.88,7.99
../food-101/train\bruschetta\1545217.jpg,167.25,3.75,23.04,7.05
../food-101/train\bruschetta\1552330.jpg,178.36,4.22,21.12,6.57
../food-101/train\bruschetta\1553546.jpg,167.51,4.57,19.57,6.15
../food-101/train\bruschetta\1562000.jpg,188.84,3.68,27.41,7.43
../food-101/train\bruschetta\1565037.jpg,169.65,3.66,21.52,6.43
../food-101/train\bruschetta\1565664.jpg,188.35,3.92,24.24,6.4
../food-101/train\bruschetta\1571741.jpg,172.7,4.13,26.42,7.84
../food-101/train\bruschetta\1572090.jpg,182.68,4.25,21.04,6.49
../food-101/train\bruschetta\1579559.jpg,183.04,4.14,26.92,6.56
../food-101/train\bruschetta\1580320.jpg,165.71,4.22,22.62,7.44
../food-101/train\bruschetta\1581410.jpg,160.36,4.04,28.16,6.72
../food-101/train\bruschetta\1581515.jpg,186.94,4.26,27.87,7.47
../food-101/train\bruschetta\1594971.jpg,179.74,3.75,19.76,7.51
../food-101/train\bruschetta\1597607.jpg,159.49,3.88,28.14,7.24
../food-101/train\bruschetta\1601484.jpg,172.91,3.49,26.18,7.35
../food-101/train\bruschetta\1605970.jpg,160.96,4.04,25.44,6.84
../food-101/train\bruschetta\1607884.jpg,184.87,4.37,20.86,7.43
../food-101/train\bruschetta\1611582.jpg,169.25,3.4,28.68,7.79
../food-101/train\bruschetta\1613124.jpg,169.08,3.73,21.71,7.33
../food-101/train\bruschetta\1613968.jpg,161.14,4.23,25.08,7.27
../food-101/train\bruschetta\1623765.jpg,187.32,4.5,25.43,6.8
../food-101/train\bruschetta\1629416.jpg,192.45,4.43,26.53,7.32
../food-101/train\bruschetta\1637514.jpg,168.37,3.64,23.76,7.87
../food-101/train\bruschetta\1640671.jpg,164.36,3.75,28.79,6.23
../food-101/train\bruschetta\1649486.jpg,171.52,4.09,20.88,6.21
../food-101/train\bruschetta\1660370.jpg,189.57,3.55,22.54,6.87
../food-101/train\bruschetta\1666352.jpg,180.97,4.11,28.52,6.75
../food-101/train\bruschetta\1668680.jpg,181.4,3.56,22.25,5.99
../food-101/train\bruschetta\1668990.jpg,165.54,4.23,26.52,6.21
../food-101/train\bruschetta\1674942.jpg,164.26,4.11,26.85,6.61
../food-101/train\bruschetta\1682366.jpg,174.51,4.5,19.52,6.8
../food-101/train\bruschetta\168900.jpg,172.99,3.85,20.33,6.7
../food-101/train\bruschetta\1689549.jpg,176.55,3.58,25.73,7.9
../food-101/train\bruschetta\1695326.jpg,187.03,4.56,19.29,7.27
../food-101/train\bruschetta\1699178.jpg,168.24,3.43,21.91,6.11
../food-101/train\bruschetta\1706798.jpg,164.94,3.45,19.56,6.24
../food-101/train\bruschetta\1707593.jpg,192.4,4.51,27.87,6.07
../food-101/train\bruschetta\1710827.jpg,164.83,3.72,27.18,6.76
../food-101/train\bruschetta\1717860.jpg,190.49,4.04,22.28,6.1
../food-101/train\bruschetta\1720347.jpg,160.37,3.82,21.34,6.59
../food-101/train\bruschetta\1737027.jpg,182.44,4.04,23.75,7.77
../food-101/train\bruschetta\1737150.jpg,191.22,3.65,25.92,6.62
../food-101/train\bruschetta\173987.jpg,191.69,4.14,28.79,6.3
../food-101/train\bruschetta\1741111.jpg,166.69,4.07,25.39,7.72
../food-101/train\bruschetta\1742603.jpg,173.59,4.02,26.34,7.45
../food-101/train\bruschetta\1743257.jpg,181.85,4.09,21.56,6.15
../food-101/train\bruschetta\175498.jpg,192.45,3.55,28.76,6.38
../food-101/train\bruschetta\1773427.jpg,168.76,4.07,28.73,6.56
../food-101/train\bruschetta\1782105.jpg,179.02,3.76,23.59,6.9
../food-101/train\bruschetta\1789208.jpg,170.92,3.43,25.16,7.77
../food-101/train\bruschetta\1813000.jpg,166.8,4.43,26.87,6.75
../food-101/train\bruschetta\1818090.jpg,184.83,4.44,26.01,6.9
../food-101/train\bruschetta\1820249.jpg,187.13,4.23,19.44,6.21
../food-101/train\bruschetta\1820653.jpg,181.26,3.99,20.72,6.84
../food-101/train\bruschetta\1831703.jpg,186.04,3.7,25.57,7.96
../food-101/train\bruschetta\1834896.jpg,190.8,4.29,22.83,6.37
../food-101/train\bruschetta\1837498.jpg,183.04,4.14,26.71,7.34
../food-101/train\bruschetta\1841174.jpg,166.66,3.65,22.59,7.83
../food-101/train\bruschetta\1842107.jpg,158.37,4.26,19.75,6.66
../food-101/train\bruschetta\18511.jpg,163.83,4.56,28.79,6.95
../food-101/train\bruschetta\1851263.jpg,164.22,3.9,21.28,7.17
../food-101/train\bruschetta\1856208.jpg,183.48,3.56,21.59,6.04
../food-101/train\bruschetta\1857065.jpg,187.62,3.52,19.96,6.63
../food-101/train\bruschetta\1866967.jpg,160.11,4.34,20.97,8.03
../food-101/train\bruschetta\187050.jpg,169.31,4.09,20.67,6.84
../food-101/train\bruschetta\1871065.jpg,174.19,4.37,21.18,7.43
../food-101/train\bruschetta\1878963.jpg,182.32,4.5,19.7,7.55
../food-101/train\bruschetta\1878978.jpg,183.75,4.35,27.35,7.46
../food-101/train\bruschetta\1880519.jpg,186.68,3.78,24.64,6.82
../food-101/train\bruschetta\1880903.jpg,186.78,3.43,28.58,7.77
../food-101/train\bruschetta\1881773.jpg,162.71,4.22,26.16,7.67
../food-101/train\bruschetta\1883051.jpg,189.2,3.8,23.43,6.67
../food-101/train\bruschetta\1883187.jpg,182.83,4.01,26.88,6.91
../food-101/train\bruschetta\1885359.jpg,189.65,3.75,28.46,6.2
../food-101/train\bruschetta\1889184.jpg,159.73,3.88,20.75,6.24
../food-101/train\bruschetta\188930.jpg,182.18,3.92,26.87,7.04
../food-101/train\bruschetta\1890619.jpg,166.69,4.33,19.42,7.98
../food-101/train\bruschetta\1900581.jpg,188.68,4.31,19.63,7.52
../food-101/train\bruschetta\1901040.jpg,163.12,3.96,24.21,6.06
../food-101/train\bruschetta\1903786.jpg,190.2,3.51,28.42,7.59
../food-101/train\bruschetta\1905725.jpg,162.04,4.59,25.14,6.11
../food-101/train\bruschetta\190768.jpg,158.25,4.22,20.53,7.2
../food-101/train\bruschetta\1924292.jpg,171.94,4.01,26.91,6.91
../food-101/train\bruschetta\1924585.jpg,157.84,4.55,20.9,6.76
../food-101/train\bruschetta\192955.jpg,170.49,3.46,28.41,6.21
../food-101/train\bruschetta\1933252.jpg,183.08,4.55,21.49,6.14
../food-101/train\bruschetta\1933709.jpg,166.36,3.8,22.9,7.86
../food-101/train\bruschetta\1937695.jpg,181.09,4.01,25.96,5.97
../food-101/train\bruschetta\1938501.jpg,165.78,3.73,20.14,6.29
../food-101/train\bruschetta\194223.jpg,189.07,4.0,22.65,6.68
../food-101/train\bruschetta\1943405.jpg,187.39,3.79,28.34,7.57
../food-101/train\bruschetta\1958449.jpg,171.52,3.76,27.01,6.34
../food-101/train\bruschetta\1973102.jpg,159.61,3.5,24.71,6.77
../food-101/train\bruschetta\1974546.jpg,172.28,4.39,24.17,8.0
../food-101/train\bruschetta\1976479.jpg,180.59,3.74,20.52,6.0
../food-101/train\bruschetta\1977770.jpg,158.53,3.62,19.58,6.56
../food-101/train\bruschetta\1982171.jpg,188.91,3.57,25.58,7.92
../food-101/train\bruschetta\1985717.jpg,173.05,3.75,23.97,7.39
../food-101/train\bruschetta\1997697.jpg,170.75,4.5,25.44,7.76
../food-101/train\bruschetta\2006543.jpg,178.93,4.46,22.3,6.34
../food-101/train\bruschetta\2007425.jpg,177.43,3.48,25.2,6.48
../food-101/train\bruschetta\2018603.jpg,186.28,4.45,19.72,7.44
../food-101/train\bruschetta\2031594.jpg,163.27,4.42,25.09,6.27
../food-101/train\bruschetta\2044850.jpg,169.47,4.12,27.58,7.37
../food-101/train\bruschetta\2045006.jpg,172.81,4.59,24.49,7.09
../food-101/train\bruschetta\2048600.jpg,191.07,4.37,28.38,7.17
../food-101/train\bruschetta\2048700.jpg,173.87,3.76,27.98,6.81
../food-101/train\bruschetta\2050704.jpg,167.32,3.47,25.24,7.53
../food-101/train\bruschetta\2053216.jpg,182.82,4.37,23.03,7.87
../food-101/train\bruschetta\2056234.jpg,182.51,3.58,27.28,6.96
../food-101/train\bruschetta\2056749.jpg,173.83,4.46,23.51,6.55
../food-101/train\bruschetta\2060087.jpg,182.09,4.4,27.78,7.91
../food-101/train\bruschetta\2063956.jpg,164.03,4.13,19.91,6.77
../food-101/train\bruschetta\2064792.jpg,180.98,3.66,24.07,6.19
../food-101/train\bruschetta\2066472.jpg,175.23,4.3,22.56,7.52
../food-101/train\bruschetta\2075067.jpg,183.57,4.4,19.82,6.08
../food-101/train\bruschetta\2080237.jpg,178.55,3.79,28.19,6.8
../food-101/train\bruschetta\2083477.jpg,189.05,3.83,21.13,7.54
../food-101/train\bruschetta\2098793.jpg,165.96,4.57,26.94,6.96
../food-101/train\bruschetta\2099561.jpg,168.05,3.5,24.71,6.38
../food-101/train\bruschetta\210237.jpg,184.11,4.51,25.15,6.17
../food-101/train\bruschetta\2111168.jpg,169.79,3.72,21.83,7.46
../food-101/train\bruschetta\2111699.jpg,188.61,3.86,27.72,6.23
../food-101/train\bruschetta\2115743.jpg,175.43,4.08,20.42,7.63
../food-101/train\bruschetta\2120230.jpg,164.35,4.18,23.8,7.53
../food-101/train\bruschetta\2122998.jpg,159.03,3.62,24.04,6.38
../food-101/train\bruschetta\2124776.jpg,180.3,3.55,25.08,6.84
../food-101/train\bruschetta\2127455.jpg,175.8,3.92,25.27,6.74
../food-101/train\bruschetta\2130527.jpg,185.55,3.95,21.67,6.75
../food-101/train\bruschetta\2133542.jpg,189.74,4.23,25.89,6.19
../food-101/train\bruschetta\213485.jpg,173.37,4.38,27.23,6.27
../food-101/train\bruschetta\2139541.jpg,165.61,3.85,20.56,7.35
../food-101/train\bruschetta\2154512.jpg,173.93,4.21,20.71,7.66
../food-101/train\bruschetta\2161394.jpg,185.08,4.23,20.7,6.94
../food-101/train\bruschetta\2176230.jpg,157.98,4.54,26.18,6.61
../food-101/train\bruschetta\2178144.jpg,180.69,4.23,26.67,7.03
../food-101/train\bruschetta\2179573.jpg,182.15,3.72,28.67,6.03
../food-101/train\bruschetta\2182835.jpg,180.79,3.72,27.16,6.04
../food-101/train\bruschetta\2190428.jpg,185.7,3.43,24.71,7.28
../food-101/train\bruschetta\2192894.jpg,174.57,3.42,22.12,7.46
../food-101/train\bruschetta\2208426.jpg,174.13,3.73,24.75,7.1
../food-101/train\bruschetta\2218786.jpg,174.23,4.06,22.04,6.36
../food-101/train\bruschetta\2224088.jpg,165.95,4.28,19.59,8.05
../food-101/train\bruschetta\2225263.jpg,182.78,3.86,21.17,6.28
../food-101/train\bruschetta\222638.jpg,172.03,4.54,23.71,7.31
../food-101/train\bruschetta\2229245.jpg,173.31,3.55,20.29,7.2
../food-101/train\bruschetta\2233142.jpg,169.08,4.39,21.34,7.81
../food-101/train\bruschetta\2237873.jpg,172.55,3.46,20.53,7.96
../food-101/train\bruschetta\2245027.jpg,172.83,4.49,27.7,6.38
../food-101/train\bruschetta\2245091.jpg,185.53,3.97,24.1,7.95
../food-101/train\bruschetta\2250920.jpg,180.67,4.04,20.76,7.87
../food-101/train\bruschetta\2254701.jpg,161.45,3.85,28.25,6.29
../food-101/train\bruschetta\2257586.jpg,169.67,3.52,23.14,6.51
../food-101/train\bruschetta\2258663.jpg,188.5,4.27,23.94,7.12
../food-101/train\bruschetta\226574.jpg,169.23,4.16,22.42,7.06
../food-101/train\bruschetta\2266272.jpg,190.14,4.27,24.97,6.72
../food-101/train\bruschetta\2269068.jpg,166.14,3.75,20.84,7.61
../food-101/train\bruschetta\2271915.jpg,167.42,4.32,23.67,7.06
../food-101/train\bruschetta\2273852.jpg,165.25,3.89,25.28,7.37
../food-101/train\bruschetta\2274615.jpg,188.0,4.42,25.44,7.99
../food-101/train\bruschetta\2275519.jpg,169.91,4.22,20.26,6.06
../food-101/train\bruschetta\227901.jpg,167.36,3.49,27.44,7.67
../food-101/train\bruschetta\2286856.jpg,157.53,3.64,24.15,8.0
../food-101/train\bruschetta\2289513.jpg,182.25,3.63,26.5,7.91
../food-101/train\bruschetta\2296444.jpg,174.3,3.8,25.28,6.66
../food-101/train\bruschetta\2298016.jpg,162.94,4.5,24.48,7.05
../food-101/train\bruschetta\2309794.jpg,171.29,3.7,23.04,7.16
../food-101/train\bruschetta\2311458.jpg,190.27,4.47,21.72,6.14
../food-101/train\bruschetta\2314900.jpg,179.61,4.51,21.05,6.58
../food-101/train\bruschetta\2326963.jpg,187.81,4.46,22.02,8.04
../food-101/train\bruschetta\2328474.jpg,169.07,4.2,23.4,6.69
../food-101/train\bruschetta\2339609.jpg,180.54,4.31,21.23,7.6
../food-101/train\bruschetta\2355667.jpg,173.69,3.94,22.66,6.03
../food-101/train\bruschetta\2360802.jpg,181.12,3.54,23.58,7.01
../food-101/train\bruschetta\2371080.jpg,179.58,4.05,22.12,7.92
../food-101/train\bruschetta\2375063.jpg,191.08,3.67,20.88,6.44
../food-101/train\bruschetta\2375804.jpg,161.4,3.94,26.64,6.48
../food-101/train\bruschetta\2381015.jpg,188.8,4.45,24.41,6.77
../food-101/train\bruschetta\2386525.jpg,183.33,3.66,21.56,6.47
../food-101/train\bruschetta\2389078.jpg,165.2,4.49,28.02,6.16
../food-101/train\bruschetta\2391460.jpg,186.37,4.49,23.0,7.3
../food-101/train\bruschetta\2392643.jpg,183.99,4.14,27.87,6.76
../food-101/train\bruschetta\2397755.jpg,172.23,3.96,19.98,6.75
../food-101/train\bruschetta\2399066.jpg,187.12,4.55,28.6,7.24
../food-101/train\bruschetta\2400578.jpg,181.68,4.21,24.94,6.35
../food-101/train\bruschetta\2405601.jpg,189.85,4.51,23.09,7.59
../food-101/train\bruschetta\2407116.jpg,177.44,4.3,26.01,7.13
../food-101/train\bruschetta\2407663.jpg,181.73,4.3,20.41,7.24
../food-101/train\bruschetta\2408610.jpg,168.62,3.75,22.97,6.63
../food-101/train\bruschetta\2409670.jpg,164.68,3.67,27.69,7.55
../food-101/train\bruschetta\2411864.jpg,190.91,4.52,27.35,7.74
../food-101/train\bruschetta\2415344.jpg,167.23,4.2,20.54,6.5
../food-101/train\bruschetta\2417016.jpg,181.35,4.15,23.66,6.25
../food-101/train\bruschetta\2421319.jpg,180.52,3.4,25.4,7.03
../food-101/train\bruschetta\242410.jpg,181.64,4.18,21.99,7.65
../food-101/train\bruschetta\243736.jpg,189.2,4.04,25.69,7.53
../food-101/train\bruschetta\2440852.jpg,187.03,3.92,22.23,6.2
../food-101/train\bruschetta\2442017.jpg,168.19,4.02,20.68,6.04
../food-101/train\bruschetta\2445217.jpg,187.93,4.59,26.64,7.46
../food-101/train\bruschetta\2450629.jpg,192.29,3.72,20.84,6.93
../food-101/train\bruschetta\2455008.jpg,188.67,4.37,22.06,6.99
../food-101/train\bruschetta\2463844.jpg,183.46,3.7,26.64,7.0
../food-101/train\bruschetta\2463994.jpg,178.5,3.69,20.16,7.37
../food-101/train\bruschetta\2465455.jpg,189.29,3.4,20.84,6.28
../food-101/train\bruschetta\2482988.jpg,182.9,3.42,24.24,7.56
../food-101/train\bruschetta\2487273.jpg,167.62,4.6,20.49,7.87
../food-101/train\bruschetta\2490871.jpg,162.84,4.45,23.48,7.74
../food-101/train\bruschetta\2492386.jpg,171.77,4.0,24.63,6.76
../food-101/train\bruschetta\2508478.jpg,170.97,4.05,24.98,7.2
../food-101/train\bruschetta\2508546.jpg,160.43,4.07,28.08,7.5
../food-101/train\bruschetta\2511782.jpg,170.51,3.59,25.39,7.87
../food-101/train\bruschetta\2517291.jpg,172.09,3.65,24.38,7.51
../food-101/train\bruschetta\2518230.jpg,185.88,3.81,26.25,7.25
../food-101/train\bruschetta\2518748.jpg,171.41,3.62,25.02,7.66
../food-101/train\bruschetta\2523680.jpg,179.84,3.54,20.14,7.6
../food-101/train\bruschetta\2525115.jpg,162.1,4.27,27.55,7.83
../food-101/train\bruschetta\2526429.jpg,176.59,3.82,27.84,7.65
../food-101/train\bruschetta\2530947.jpg,166.35,3.75,20.56,7.11
../food-101/train\bruschetta\2532030.jpg,183.7,4.2,28.59,7.68
../food-101/train\bruschetta\254460.jpg,190.26,4.51,19.99,7.88
../food-101/train\bruschetta\2545797.jpg,158.58,3.86,28.19,7.46
../food-101/train\bruschetta\2547123.jpg,185.36,4.19,20.61,6.15
../food-101/train\bruschetta\2550097.jpg,171.02,3.78,26.79,7.3
../food-101/train\bruschetta\2555628.jpg,164.84,3.72,27.68,7.63
../food-101/train\bruschetta\255894.jpg,188.21,3.51,22.73,7.6
../food-101/train\bruschetta\255944.jpg,158.16,3.98,20.3,6.15
../food-101/train\bruschetta\2563751.jpg,179.45,4.31,19.47,6.59
../food-101/train\bruschetta\2577654.jpg,165.31,4.08,23.81,6.25
../food-101/train\bruschetta\258908.jpg,188.32,4.54,27.26,7.45
../food-101/train\bruschetta\2591921.jpg,181.14,4.23,28.51,7.5
../food-101/train\bruschetta\260472.jpg,160.99,4.4,26.72,6.76
../food-101/train\bruschetta\2604989.jpg,163.43,4.34,25.5,6.82
../food-101/train\bruschetta\261311.jpg,190.46,3.93,19.67,6.52
../food-101/train\bruschetta\2616303.jpg,185.76,3.56,23.75,6.26
../food-101/train\bruschetta\2618539.jpg,175.55,4.01,21.71,7.8
../food-101/train\bruschetta\2622357.jpg,163.83,4.26,21.46,7.96
../food-101/train\bruschetta\2626162.jpg,187.82,3.6,26.34,8.04
../food-101/train\bruschetta\2646663.jpg,183.98,4.43,28.24,7.56
../food-101/train\bruschetta\2651682.jpg,160.37,4.33,26.33,6.0
../food-101/train\bruschetta\2658207.jpg,165.99,4.42,27.22,7.66
../food-101/train\bruschetta\2663471.jpg,178.46,4.0,19.65,7.51
../food-101/train\bruschetta\2664089.jpg,157.79,4.02,27.19,8.04
../food-101/train\bruschetta\2664122.jpg,172.4,4.53,23.04,6.15
../food-101/train\bruschetta\2669291.jpg,181.11,3.6,28.02,7.28
../food-101/train\bruschetta\267619.jpg,190.98,3.94,24.51,6.27
../food-101/train\bruschetta\2687775.jpg,173.94,4.42,24.81,5.97
../food-101/train\bruschetta\2698230.jpg,184.6,4.46,23.06,6.31
../food-101/train\bruschetta\2699385.jpg,172.79,4.27,20.78,6.37
../food-101/train\bruschetta\2699434.jpg,190.61,4.21,27.31,7.11
../food-101/train\bruschetta\2708408.jpg,159.08,4.04,27.7,6.88
../food-101/train\bruschetta\2708535.jpg,177.78,4.52,23.59,6.02
../food-101/train\bruschetta\2712019.jpg,177.07,4.28,27.3,6.24
../food-101/train\bruschetta\2719095.jpg,188.59,4.24,24.22,7.91
../food-101/train\bruschetta\2719848.jpg,159.76,3.95,19.73,6.57
../food-101/train\bruschetta\2736265.jpg,185.95,4.55,19.22,6.09
../food-101/train\bruschetta\2738558.jpg,173.5,3.53,22.56,7.18
../food-101/train\bruschetta\2747474.jpg,170.23,3.53,24.29,6.6
../food-101/train\bruschetta\2749434.jpg,176.69,4.59,24.91,6.83
../food-101/train\bruschetta\2754888.jpg,186.47,4.38,19.5,6.73
../food-101/train\bruschetta\276068.jpg,170.49,4.2,21.5,7.54
../food-101/train\bruschetta\2772698.jpg,165.82,4.45,22.68,7.65
../food-101/train\bruschetta\2786921.jpg,167.6,3.93,23.86,6.67
../food-101/train\bruschetta\278795.jpg,167.01,3.83,20.17,7.16
../food-101/train\bruschetta\2795103.jpg,177.15,4.09,26.12,7.83
../food-101/train\bruschetta\2799400.jpg,175.14,4.33,23.84,7.4
../food-101/train\bruschetta\2804634.jpg,187.03,4.35,23.26,7.8
../food-101/train\bruschetta\2810312.jpg,164.35,4.42,23.05,6.73
../food-101/train\bruschetta\2816458.jpg,170.14,3.62,23.03,6.3
../food-101/train\bruschetta\2824092.jpg,186.4,3.49,28.0,6.88
../food-101/train\bruschetta\2838855.jpg,166.64,4.52,23.27,6.73
../food-101/train\bruschetta\2851413.jpg,189.45,4.17,27.22,7.7
../food-101/train\bruschetta\2860436.jpg,186.71,4.34,21.35,7.32
../food-101/train\bruschetta\2860604.jpg,171.97,4.39,22.07,7.34
../food-101/train\bruschetta\2871077.jpg,185.76,3.46,26.3,7.91
../food-101/train\bruschetta\2886671.jpg,191.25,4.44,24.17,6.44
../food-101/train\bruschetta\289726.jpg,158.06,4.01,24.39,6.09
../food-101/train\bruschetta\2906889.jpg,181.45,3.55,21.81,6.19
../food-101/train\bruschetta\2935741.jpg,165.94,3.71,28.37,7.0
../food-101/train\bruschetta\2941107.jpg,175.96,4.6,27.28,7.82
../food-101/train\bruschetta\2941161.jpg,171.36,4.2,25.77,6.19
../food-101/train\bruschetta\2942349.jpg,160.09,4.56,28.76,6.34
../food-101/train\bruschetta\2952225.jpg,190.9,4.41,24.28,6.72
../food-101/train\bruschetta\2954103.jpg,174.63,4.0,25.3,7.95
../food-101/train\bruschetta\2956862.jpg,163.07,4.42,25.83,6.09
../food-101/train\bruschetta\2965006.jpg,174.63,4.5,24.92,7.02
../food-101/train\bruschetta\2965560.jpg,166.51,4.38,28.05,5.99
../food-101/train\bruschetta\2967652.jpg,183.84,4.01,25.39,6.05
../food-101/train\bruschetta\2993950.jpg,167.1,4.43,20.87,7.6
../food-101/train\bruschetta\2996874.jpg,175.93,4.51,27.6,6.59
../food-101/train\bruschetta\2997406.jpg,190.81,3.65,19.81,7.73
../food-101/train\bruschetta\3005235.jpg,161.84,4.37,20.47,6.04
../food-101/train\bruschetta\3023155.jpg,162.09,4.23,21.23,6.78
../food-101/train\bruschetta\3026915.jpg,183.78,3.48,22.08,7.61
